id,claim,evidence_doc_id,evidence_label,evidence_sentences,cited_doc_ids
1,0-dimensional biomaterials show inductive properties.,,,[],[31715818]
3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",14717500,SUPPORT,[2 5],[14717500]
3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",14717500,SUPPORT,[7],[14717500]
5,1/2000 in UK have abnormal PrP positivity.,13734012,SUPPORT,[4],[13734012]
13,5% of perinatal mortality is due to low birth weight.,,,[],[1606628]
36,A deficiency of vitamin B12 increases blood levels of homocysteine.,,,[],[ 5152028 11705328]
42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,18174210,CONTRADICT,[1 9],[18174210]
42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,18174210,CONTRADICT,[10],[18174210]
48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",13734012,CONTRADICT,[4],[13734012]
49,ADAR1 binds to Dicer to cleave pre-miRNA.,5953485,SUPPORT,[1],[5953485]
49,ADAR1 binds to Dicer to cleave pre-miRNA.,5953485,SUPPORT,[2],[5953485]
50,AIRE is expressed in some skin tumors.,12580014,SUPPORT,[1],[12580014]
51,ALDH1 expression is associated with better breast cancer outcomes.,45638119,CONTRADICT,[4],[45638119]
53,ALDH1 expression is associated with poorer prognosis in breast cancer.,45638119,SUPPORT,[4],[45638119]
54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,49556906,CONTRADICT,[5],[49556906]
54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,49556906,CONTRADICT,[6],[49556906]
54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,49556906,CONTRADICT,[7],[49556906]
56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,4709641,SUPPORT,[1],[4709641]
57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",4709641,CONTRADICT,[1],[4709641]
70,Activation of PPM1D suppresses p53 function.,5956380,SUPPORT,[5 6],[5956380 4414547]
70,Activation of PPM1D suppresses p53 function.,4414547,SUPPORT,[5],[5956380 4414547]
72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,,,[],[6076903]
75,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",,,[],[4387784]
94,Albendazole is used to treat lymphatic filariasis.,,,[],[1215116]
99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,,,[],[18810195]
100,All hematopoietic stem cells segregate their chromosomes randomly.,4381486,SUPPORT,[5],[4381486]
113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,6157837,SUPPORT,[2],[6157837]
113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,6157837,SUPPORT,[7],[6157837]
115,Anthrax spores can be disposed of easily after they are dispersed.,33872649,CONTRADICT,[6],[33872649]
118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,6372244,SUPPORT,[0],[6372244]
118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,6372244,SUPPORT,[4],[6372244]
124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,4883040,SUPPORT,[8],[4883040]
124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,4883040,SUPPORT,[10],[4883040]
127,Arginine 90 in p150n is important for interaction with EB1.,,,[],[21598000]
128,Arterioles have a larger lumen diameter than venules.,,,[],[8290953]
129,Articles published in open access format are less likely to be cited than traditional journals.,27768226,CONTRADICT,[2],[27768226]
129,Articles published in open access format are less likely to be cited than traditional journals.,27768226,CONTRADICT,[10],[27768226]
129,Articles published in open access format are less likely to be cited than traditional journals.,27768226,CONTRADICT,[11],[27768226]
129,Articles published in open access format are less likely to be cited than traditional journals.,27768226,CONTRADICT,[40],[27768226]
130,Articles published in open access format are more likely to be cited than traditional journals.,27768226,SUPPORT,[2],[27768226]
130,Articles published in open access format are more likely to be cited than traditional journals.,27768226,SUPPORT,[10],[27768226]
